ipa,pos,translation,grammar,derivation,notes
sikar,n,"celui qui voit, voyant",nom,sik + -ar (agentif),expansion T2 (agentif)
sikut,n,"ce qui est vu, vision",nom,sik + -ut (résultatif),expansion T2 (résultatif)
sikil,n,"l'œil, l'organe de la vision",nom,sik + -il (instrumental),expansion T2 (instrumental)
sikus,v.stat,"avoir besoin de voir, chercher à regarder",verbe statif,sik + -us (désidératif),expansion T2 (désidératif)
plik,v,"toucher, sentir par le toucher, palper",radical verbal,racine,"expansion T2 ; grappe : la perception (voir, entendre, sentir, toucher)"
plikar,n,"celui qui touche, palpeur",nom,plik + -ar (agentif),expansion T2 (agentif)
plikil,n,"la main, l'outil du toucher",nom,plik + -il (instrumental),expansion T2 (instrumental)
plikus,v.stat,"avoir envie de toucher, être curieux tactile",verbe statif,plik + -us (désidératif),expansion T2 (désidératif)
lirk,v.stat,"être audible, résonner, se faire entendre",verbe statif,racine,"expansion T2 ; grappe : la perception (voir, entendre, sentir, toucher)"
lirkut,n,"le bruit, le son résonnant",nom,lirk + -ut (résultatif),expansion T2 (résultatif)
lirkas,n,"l'audibilité, la sonorité",nom,lirk + -as (abstrait),expansion T2 (abstrait)
kʼalirk,v.stat,"être silencieux, inaudible",verbe statif,lirk + kʼa- (privatif),expansion T2 (privatif)
mak,v.stat,"sentir bon, avoir une bonne odeur, être parfumé",verbe statif,racine,"expansion T2 ; grappe : la perception (voir, entendre, sentir, toucher)"
makut,n,"le bon parfum, l'arôme",nom,mak + -ut (résultatif),expansion T2 (résultatif)
makas,n,"la qualité de sentir bon, le parfum",nom,mak + -as (abstrait),expansion T2 (abstrait)
punk,v.stat,"sentir mauvais, puer, être nauséabond",verbe statif,racine,"expansion T2 ; grappe : la perception (voir, entendre, sentir, toucher)"
punkut,n,"la mauvaise odeur, la puanteur",nom,punk + -ut (résultatif),expansion T2 (résultatif)
punkas,n,"la puanteur, l'infection olfactive",nom,punk + -as (abstrait),expansion T2 (abstrait)
kʼapunk,v.stat,"être inodore, sans odeur",verbe statif,punk + kʼa- (privatif),expansion T2 (privatif)
krix,v.stat,"être rugueux, rêche, âpre au toucher",verbe statif,racine,"expansion T2 ; grappe : la perception (voir, entendre, sentir, toucher)"
krixut,n,"la rugosité, la surface rêche",nom,krix + -ut (résultatif),expansion T2 (résultatif)
krixas,n,"l'âpreté, la texture rugueuse",nom,krix + -as (abstrait),expansion T2 (abstrait)
kʼakrix,v.stat,"devenir lisse, perdre la rugosité",verbe statif,krix + kʼa- (privatif),expansion T2 (privatif)
pik,v.stat,"être lumineux, briller, rayonner de lumière",verbe statif,racine,"expansion T2 ; grappe : la perception (voir, entendre, sentir, toucher)"
pikut,n,"la lumière, l'éclat",nom,pik + -ut (résultatif),expansion T2 (résultatif)
pikas,n,"la luminosité, l'éclat",nom,pik + -as (abstrait),expansion T2 (abstrait)
kʼapik,v.stat,"être obscur, non lumineux",verbe statif,pik + kʼa- (privatif),expansion T2 (privatif)
xunk,v.stat,"être sombre, obscur, sans lumière",verbe statif,racine,"expansion T2 ; grappe : la perception (voir, entendre, sentir, toucher)"
xunkut,n,"l'obscurité, l'ombre",nom,xunk + -ut (résultatif),expansion T2 (résultatif)
xunkas,n,"l'obscurité, l'état sombre",nom,xunk + -as (abstrait),expansion T2 (abstrait)
kral,v,"observer attentivement, épier, scruter",radical verbal,racine,"expansion T2 ; grappe : la perception (voir, entendre, sentir, toucher)"
kralar,n,"l'observateur, l'espion",nom,kral + -ar (agentif),expansion T2 (agentif)
kralil,n,"le regard, l'observation",nom,kral + -il (instrumental),expansion T2 (instrumental)
kralus,v.stat,"avoir envie d'observer, être curieux",verbe statif,kral + -us (désidératif),expansion T2 (désidératif)
trix,v,"examiner par le toucher, tâter, explorer tactile",radical verbal,racine,"expansion T2 ; grappe : la perception (voir, entendre, sentir, toucher)"
trixar,n,"celui qui tâte, examinateur",nom,trix + -ar (agentif),expansion T2 (agentif)
trixil,n,"l'instrument de tâtement, le doigt",nom,trix + -il (instrumental),expansion T2 (instrumental)
trixas,n,"l'examen tactile, la palpation",nom,trix + -as (abstrait),expansion T2 (abstrait)
skip,v.stat,"être transparent, laisser passer la lumière",verbe statif,racine,"expansion T2 ; grappe : la perception (voir, entendre, sentir, toucher)"
skiput,n,"la transparence, la limpidité",nom,skip + -ut (résultatif),expansion T2 (résultatif)
skipas,n,"la qualité de transparent, la clarté optique",nom,skip + -as (abstrait),expansion T2 (abstrait)
kʼaskip,v.stat,"être opaque, non transparent",verbe statif,skip + kʼa- (privatif),expansion T2 (privatif)
taks,v,"apprendre, acquérir du savoir",radical verbal,racine,expansion T2 ; grappe : la pensée et le savoir
taksar,n,"apprenant, élève",nom,taks + -ar (agentif),expansion T2 (agentif)
taksas,n,"apprentissage, savoir",nom,taks + -as (abstrait),expansion T2 (abstrait)
taksus,v.stat,avoir soif de connaissances,verbe statif,taks + -us (désidératif),expansion T2 (désidératif)
mult,v,"comprendre, saisir (intellectuellement)",radical verbal,racine,expansion T2 ; grappe : la pensée et le savoir
multar,n,"celui qui comprend, érudit",nom,mult + -ar (agentif),expansion T2 (agentif)
multut,n,"compréhension, acquis mental",nom,mult + -ut (résultatif),expansion T2 (résultatif)
multas,n,compréhension (domaine),nom,mult + -as (abstrait),expansion T2 (abstrait)
xirk,v,"mémoriser, retenir, se souvenir",radical verbal,racine,expansion T2 ; grappe : la pensée et le savoir
xirkar,n,celui qui se souvient,nom,xirk + -ar (agentif),expansion T2 (agentif)
xirkas,n,"mémoire, souvenir (domaine)",nom,xirk + -as (abstrait),expansion T2 (abstrait)
xirkil,n,"aide-mémoire, mnémonique",nom,xirk + -il (instrumental),expansion T2 (instrumental)
krim,v,"juger, évaluer, critiquer",radical verbal,racine,expansion T2 ; grappe : la pensée et le savoir
krimar,n,"juge, critique, évaluateur",nom,krim + -ar (agentif),expansion T2 (agentif)
krimas,n,"jugement, critique",nom,krim + -as (abstrait),expansion T2 (abstrait)
krimut,n,"verdict, jugement (résultat)",nom,krim + -ut (résultatif),expansion T2 (résultatif)
stalk,v,"analyser, décomposer (conceptuellement)",radical verbal,racine,expansion T2 ; grappe : la pensée et le savoir
stalkar,n,analyste,nom,stalk + -ar (agentif),expansion T2 (agentif)
stalkas,n,analyse,nom,stalk + -as (abstrait),expansion T2 (abstrait)
stalkil,n,outil d'analyse,nom,stalk + -il (instrumental),expansion T2 (instrumental)
trim,v,"douter, questionner, hésite",radical verbal,racine,expansion T2 ; grappe : la pensée et le savoir
trimar,n,"celui qui doute, sceptique",nom,trim + -ar (agentif),expansion T2 (agentif)
trimas,n,"doute, scepticisme",nom,trim + -as (abstrait),expansion T2 (abstrait)
trimus,v.stat,être dans le doute,verbe statif,trim + -us (désidératif),expansion T2 (désidératif)
liks,v,"raisonner, déduire, conclure",radical verbal,racine,expansion T2 ; grappe : la pensée et le savoir
liksar,n,"logicien, celui qui raisonne",nom,liks + -ar (agentif),expansion T2 (agentif)
liksut,n,"déduction, conclusion",nom,liks + -ut (résultatif),expansion T2 (résultatif)
liksas,n,"logique, raisonnement (domaine)",nom,liks + -as (abstrait),expansion T2 (abstrait)
silk,v,"percevoir, sentir, intuiter",radical verbal,racine,expansion T2 ; grappe : la pensée et le savoir
silkar,n,"celui qui perçoit, intuitif",nom,silk + -ar (agentif),expansion T2 (agentif)
silkas,n,"perception, intuition",nom,silk + -as (abstrait),expansion T2 (abstrait)
silkus,v.stat,avoir l'intuition de,verbe statif,silk + -us (désidératif),expansion T2 (désidératif)
pruk,v,"tester, essayer, expérimenter",radical verbal,racine,expansion T2 ; grappe : la pensée et le savoir
prukar,n,"expérimentateur, testeur",nom,pruk + -ar (agentif),expansion T2 (agentif)
prukut,n,"test, expérience",nom,pruk + -ut (résultatif),expansion T2 (résultatif)
prukil,n,instrument de test,nom,pruk + -il (instrumental),expansion T2 (instrumental)
talk,v,"parler, énoncer, produire des sons articulés",radical verbal,racine,expansion T2 ; grappe : la parole et le langage
talkar,n,"celui qui parle, locuteur",nom,talk + -ar (agentif),expansion T2 (agentif)
talkut,n,"ce qui est dit, énoncé, parole",nom,talk + -ut (résultatif),expansion T2 (résultatif)
talkil,n,"organe de la parole, voix",nom,talk + -il (instrumental),expansion T2 (instrumental)
lis,v,"écouter, percevoir par l'ouïe",radical verbal,racine,expansion T2 ; grappe : la parole et le langage
lisar,n,"celui qui écoute, auditeur",nom,lis + -ar (agentif),expansion T2 (agentif)
lisas,n,"l'écoute, l'audition",nom,lis + -as (abstrait),expansion T2 (abstrait)
skit,v,"chanter, moduler des sons mélodieux",radical verbal,racine,expansion T2 ; grappe : la parole et le langage
skitar,n,"celui qui chante, chanteur",nom,skit + -ar (agentif),expansion T2 (agentif)
skitil,n,"instrument de musique, voix chantante",nom,skit + -il (instrumental),expansion T2 (instrumental)
skitas,n,"le chant, la mélodie",nom,skit + -as (abstrait),expansion T2 (abstrait)
mink,n,"signe, symbole, marque significative",nom,racine,expansion T2 ; grappe : la parole et le langage
minkar,n,"celui qui fait des signes, signaleur",nom,mink + -ar (agentif),expansion T2 (agentif)
minkil,n,outil de signalisation,nom,mink + -il (instrumental),expansion T2 (instrumental)
minkas,n,"la signification, le sens des signes",nom,mink + -as (abstrait),expansion T2 (abstrait)
stink,v,"mémoriser, retenir en mémoire, mémoriser par cœur",radical verbal,racine,expansion T2 ; grappe : la parole et le langage
stinkar,n,celui qui mémorise,nom,stink + -ar (agentif),expansion T2 (agentif)
stinkus,v.stat,"avoir besoin de mémoriser, vouloir retenir",verbe statif,stink + -us (désidératif),expansion T2 (désidératif)
pran,v,"demander, poser une question, interroger",radical verbal,racine,expansion T2 ; grappe : la parole et le langage
pranar,n,"celui qui demande, demandeur",nom,pran + -ar (agentif),expansion T2 (agentif)
pranut,n,"question, demande",nom,pran + -ut (résultatif),expansion T2 (résultatif)
pranas,n,"l'interrogation, le questionnement",nom,pran + -as (abstrait),expansion T2 (abstrait)
pruls,v,"traduire, transférer le sens d'une langue à une autre",radical verbal,racine,expansion T2 ; grappe : la parole et le langage
prulsar,n,"celui qui traduit, traducteur",nom,pruls + -ar (agentif),expansion T2 (agentif)
prulsut,n,"traduction, rendu du sens",nom,pruls + -ut (résultatif),expansion T2 (résultatif)
prulsas,n,"l'art de traduire, la traduction",nom,pruls + -as (abstrait),expansion T2 (abstrait)
hark,v.stat,"colère, rage, irritation",verbe statif,racine,expansion T2 ; grappe : les émotions et sentiments
harkas,n,la colère (état passionnel),nom,hark + -as (abstrait),expansion T2 (abstrait)
tulm,v.stat,"honte, embarras, gêne",verbe statif,racine,expansion T2 ; grappe : les émotions et sentiments
tulmar,n,celui qui rougit,nom,tulm + -ar (agentif),expansion T2 (agentif)
kʼatulm,v.stat,"sans honte, effronté",verbe statif,tulm + kʼa- (privatif),expansion T2 (privatif)
prax,v.stat,"espoir, attente, aspiration",verbe statif,racine,expansion T2 ; grappe : les émotions et sentiments
praxus,v.stat,"avoir envie de, désirer",verbe statif,prax + -us (désidératif),expansion T2 (désidératif)
praxas,n,l'espoir (sentiment),nom,prax + -as (abstrait),expansion T2 (abstrait)
stum,v.stat,"surprise, étonnement, stupéfaction",verbe statif,racine,expansion T2 ; grappe : les émotions et sentiments
stumar,n,celui qui surprend,nom,stum + -ar (agentif),expansion T2 (agentif)
stumut,n,la chose surprenante,nom,stum + -ut (résultatif),expansion T2 (résultatif)
kurp,v.stat,"dégoût, répulsion, aversion",verbe statif,racine,expansion T2 ; grappe : les émotions et sentiments
kurpar,n,celui qui inspire du dégoût,nom,kurp + -ar (agentif),expansion T2 (agentif)
kʼakurp,v.stat,"sans répulsion, tolérant",verbe statif,kurp + kʼa- (privatif),expansion T2 (privatif)
rilm,v.stat,"nostalgie, regret, langueur",verbe statif,racine,expansion T2 ; grappe : les émotions et sentiments
rilmas,n,la nostalgie (sentiment),nom,rilm + -as (abstrait),expansion T2 (abstrait)
rilmus,v.stat,avoir nostalgie de,verbe statif,rilm + -us (désidératif),expansion T2 (désidératif)
hirm,v.stat,"culpabilité, remords, repentir",verbe statif,racine,expansion T2 ; grappe : les émotions et sentiments
hirmar,n,celui qui se repent,nom,hirm + -ar (agentif),expansion T2 (agentif)
sulm,v.stat,"solitude, isolement, abandon",verbe statif,racine,expansion T2 ; grappe : les émotions et sentiments
sulmar,n,celui qui est seul,nom,sulm + -ar (agentif),expansion T2 (agentif)
sulmus,v.stat,avoir besoin de compagnie,verbe statif,sulm + -us (désidératif),expansion T2 (désidératif)
tilk,v.stat,"envie, convoitise, jalousie",verbe statif,racine,expansion T2 ; grappe : les émotions et sentiments
tilkus,v.stat,"désirer, vouloir",verbe statif,tilk + -us (désidératif),expansion T2 (désidératif)
tilkas,n,la jalousie (sentiment),nom,tilk + -as (abstrait),expansion T2 (abstrait)
hult,v.stat,"douleur morale, peine, chagrin",verbe statif,racine,expansion T2 ; grappe : les émotions et sentiments
hultas,n,la douleur (état émotif),nom,hult + -as (abstrait),expansion T2 (abstrait)
hultar,n,celui qui souffre,nom,hult + -ar (agentif),expansion T2 (agentif)
kurt,v,"vouloir, désirer (volonté directe, impulsion)",radical verbal,racine,expansion T2 ; grappe : la volonté et le désir
kurtar,n,"celui qui veut, désireux",nom,kurt + -ar (agentif),expansion T2 (agentif)
kurtas,n,"la volonté, le désir",nom,kurt + -as (abstrait),expansion T2 (abstrait)
kurtus,v.stat,"avoir envie de, vouloir (besoin)",verbe statif,kurt + -us (désidératif),expansion T2 (désidératif)
nirm,v,"aspirer à, convoiter (désir intense, ambitieux)",radical verbal,racine,expansion T2 ; grappe : la volonté et le désir
nirmar,n,"ambitieux, celui qui aspire",nom,nirm + -ar (agentif),expansion T2 (agentif)
nirmas,n,"l'ambition, l'aspiration",nom,nirm + -as (abstrait),expansion T2 (abstrait)
nirmut,n,"l'objet convoité, la cible",nom,nirm + -ut (résultatif),expansion T2 (résultatif)
silm,v,"souhaiter, espérer (désir teinté d'espoir)",radical verbal,racine,expansion T2 ; grappe : la volonté et le désir
silmar,n,celui qui souhaite,nom,silm + -ar (agentif),expansion T2 (agentif)
silmas,n,"le souhait, l'espérance",nom,silm + -as (abstrait),expansion T2 (abstrait)
silmus,v.stat,"avoir envie que, souhaiter (état)",verbe statif,silm + -us (désidératif),expansion T2 (désidératif)
turm,v,"consentir à, accepter (volonté passive, adhésion)",radical verbal,racine,expansion T2 ; grappe : la volonté et le désir
turmar,n,celui qui consent,nom,turm + -ar (agentif),expansion T2 (agentif)
turmas,n,"le consentement, l'acceptation",nom,turm + -as (abstrait),expansion T2 (abstrait)
kʼaturm,v.stat,"refuser, ne pas vouloir",verbe statif,turm + kʼa- (privatif),expansion T2 (privatif)
maln,v,"exiger, imposer sa volonté (volonté dominante)",radical verbal,racine,expansion T2 ; grappe : la volonté et le désir
malnar,n,"celui qui exige, tyran",nom,maln + -ar (agentif),expansion T2 (agentif)
malnas,n,"l'exigence, l'ordre",nom,maln + -as (abstrait),expansion T2 (abstrait)
malnut,n,"ce qui est exigé, le commandement",nom,maln + -ut (résultatif),expansion T2 (résultatif)
tirp,v,"chérir, aimer (désir affectif, attachement)",radical verbal,racine,expansion T2 ; grappe : la volonté et le désir
tirpar,n,"celui qui chérit, amant",nom,tirp + -ar (agentif),expansion T2 (agentif)
tirpas,n,"l'affection, l'amour",nom,tirp + -as (abstrait),expansion T2 (abstrait)
tirpus,v.stat,avoir envie/besoin d'aimer,verbe statif,tirp + -us (désidératif),expansion T2 (désidératif)
hulm,v,"céder, plier (volonté faible, abandon)",radical verbal,racine,expansion T2 ; grappe : la volonté et le désir
hulmar,n,"celui qui cède, faible",nom,hulm + -ar (agentif),expansion T2 (agentif)
hulmas,n,"la faiblesse, la reddition",nom,hulm + -as (abstrait),expansion T2 (abstrait)
sturn,v,"désirer ardemment, brûler (désir passionnel)",radical verbal,racine,expansion T2 ; grappe : la volonté et le désir
sturnar,n,"celui qui brûle de désir, passionné",nom,sturn + -ar (agentif),expansion T2 (agentif)
sturnas,n,"la passion ardente, le feu",nom,sturn + -as (abstrait),expansion T2 (abstrait)
sturnus,v.stat,être en proie à la passion,verbe statif,sturn + -us (désidératif),expansion T2 (désidératif)
tark,v,"construire, assembler, ériger",radical verbal,racine,expansion T2 ; grappe : le travail et l'action
tarkar,n,"constructeur, bâtisseur",nom,tark + -ar (agentif),expansion T2 (agentif)
tarkut,n,"construction, édifice, structure",nom,tark + -ut (résultatif),expansion T2 (résultatif)
tarkil,n,"outil de construction, équipement",nom,tark + -il (instrumental),expansion T2 (instrumental)
tarkas,n,"art de construire, architecture",nom,tark + -as (abstrait),expansion T2 (abstrait)
malx,v,"mélanger, brasser, combiner",radical verbal,racine,expansion T2 ; grappe : le travail et l'action
malxar,n,"mélangeur, celui qui brasse",nom,malx + -ar (agentif),expansion T2 (agentif)
malxut,n,"mélange, mixture",nom,malx + -ut (résultatif),expansion T2 (résultatif)
malxil,n,"instrument de mélange, mixeur",nom,malx + -il (instrumental),expansion T2 (instrumental)
harn,v,"atteler, équiper, préparer",radical verbal,racine,expansion T2 ; grappe : le travail et l'action
harnar,n,celui qui attelle,nom,harn + -ar (agentif),expansion T2 (agentif)
harnut,n,"attelage, équipement",nom,harn + -ut (résultatif),expansion T2 (résultatif)
harnas,n,"préparation, harnachement",nom,harn + -as (abstrait),expansion T2 (abstrait)
spul,v,"verser, couler, répandre",radical verbal,racine,expansion T2 ; grappe : le travail et l'action
spular,n,celui qui verse,nom,spul + -ar (agentif),expansion T2 (agentif)
spulut,n,liquide versé,nom,spul + -ut (résultatif),expansion T2 (résultatif)
spulil,n,"récipient à verser, cruche",nom,spul + -il (instrumental),expansion T2 (instrumental)
trul,v,"lisser, polir, aplanir",radical verbal,racine,expansion T2 ; grappe : le travail et l'action
trular,n,"lisseur, poli​sseur",nom,trul + -ar (agentif),expansion T2 (agentif)
trulut,n,surface lissée,nom,trul + -ut (résultatif),expansion T2 (résultatif)
trulil,n,"truelle, polissoir",nom,trul + -il (instrumental),expansion T2 (instrumental)
trulas,n,"lissage, finition",nom,trul + -as (abstrait),expansion T2 (abstrait)
starn,v,"tourner, pivoter, changer de direction",radical verbal,racine,expansion T2 ; grappe : le travail et l'action
starnar,n,celui qui tourne,nom,starn + -ar (agentif),expansion T2 (agentif)
starnut,n,"rotation, pivotement",nom,starn + -ut (résultatif),expansion T2 (résultatif)
starnas,n,"mécanique de rotation, direction",nom,starn + -as (abstrait),expansion T2 (abstrait)
rant,n,"lame, tranchant, rasoir — ensemble des outils coupants",nom,racine,expansion T2 ; grappe : les outils et objets fabriqués
rantar,n,"affûteur, affûteur de lames",nom,rant + -ar (agentif),expansion T2 (agentif)
rantil,n,outil coupant,nom,rant + -il (instrumental),expansion T2 (instrumental)
rantas,n,qualité de tranchant,nom,rant + -as (abstrait),expansion T2 (abstrait)
skil,n,"mesure, jauge, étalon — outils de mesurage et précision",nom,racine,expansion T2 ; grappe : les outils et objets fabriqués
skilar,n,"mesureur, étalonniste",nom,skil + -ar (agentif),expansion T2 (agentif)
skilil,n,instrument de mesure,nom,skil + -il (instrumental),expansion T2 (instrumental)
skilas,n,système de mesure,nom,skil + -as (abstrait),expansion T2 (abstrait)
print,n,"marque, empreinte, trace — action de marquer et résultat",nom,racine,expansion T2 ; grappe : les outils et objets fabriqués
printar,n,celui qui marque,nom,print + -ar (agentif),expansion T2 (agentif)
printut,n,"la marque, l'empreinte",nom,print + -ut (résultatif),expansion T2 (résultatif)
sulp,n,"cheville, clou, fixation — éléments de jonction minimaux",nom,racine,expansion T2 ; grappe : les outils et objets fabriqués
sulpar,n,celui qui enfonce/fixe,nom,sulp + -ar (agentif),expansion T2 (agentif)
sulpil,n,l'objet de fixation,nom,sulp + -il (instrumental),expansion T2 (instrumental)
rik,n,"fenêtre, ouverture lumineuse",nom,racine,expansion T2 ; grappe : la maison et l'habitat
rikar,n,"vitrier, celui qui pose les vitres",nom,rik + -ar (agentif),expansion T2 (agentif)
rikut,n,"vitre, carreau, volet",nom,rik + -ut (résultatif),expansion T2 (résultatif)
mal,n,"sol, fondation, base, plancher",nom,racine,expansion T2 ; grappe : la maison et l'habitat
malar,n,"terrassier, fondateur",nom,mal + -ar (agentif),expansion T2 (agentif)
malas,n,"fonderie, technique du sol",nom,mal + -as (abstrait),expansion T2 (abstrait)
sur,v,"habiter, loger, résider, occuper",radical verbal,racine,expansion T2 ; grappe : la maison et l'habitat
surar,n,"habitant, résident",nom,sur + -ar (agentif),expansion T2 (agentif)
surus,v.stat,"avoir besoin d'un logis, vouloir habiter",verbe statif,sur + -us (désidératif),expansion T2 (désidératif)
tak,v,"construire, ériger, bâtir",radical verbal,racine,expansion T2 ; grappe : la maison et l'habitat
takar,n,"constructeur, bâtisseur",nom,tak + -ar (agentif),expansion T2 (agentif)
takut,n,"édifice, construction achevée",nom,tak + -ut (résultatif),expansion T2 (résultatif)
nim,v,"nettoyer, entretenir, rendre propre",radical verbal,racine,expansion T2 ; grappe : la maison et l'habitat
nimar,n,"nettoyeur, serviteur",nom,nim + -ar (agentif),expansion T2 (agentif)
nimas,n,"propreté, hygiène domestique",nom,nim + -as (abstrait),expansion T2 (abstrait)
kar,v.stat,"être fort, être solide, résister",verbe statif,racine,expansion T2 ; grappe : la maison et l'habitat
karas,n,"solidité, robustesse",nom,kar + -as (abstrait),expansion T2 (abstrait)
kʼakar,v.stat,"être fragile, manquer de solidité",verbe statif,kar + kʼa- (privatif),expansion T2 (privatif)
hast,n,"tissu, matière textile, fibre",nom,racine,expansion T2 ; grappe : les vêtements et le corps paré
hastar,n,"tisserand, celui qui travaille le tissu",nom,hast + -ar (agentif),expansion T2 (agentif)
hastil,n,"métier à tisser, outil textile",nom,hast + -il (instrumental),expansion T2 (instrumental)
hastas,n,"textilerie, art du tissage",nom,hast + -as (abstrait),expansion T2 (abstrait)
krax,v.stat,"être serré, comprimé, étroit",verbe statif,racine,expansion T2 ; grappe : les vêtements et le corps paré
kraxus,v.stat,"avoir besoin de se serrer, de compression",verbe statif,krax + -us (désidératif),expansion T2 (désidératif)
kʼakrax,v.stat,"être lâche, desserré, ample",verbe statif,krax + kʼa- (privatif),expansion T2 (privatif)
tulp,v.stat,"être souple, flexible, mou",verbe statif,racine,expansion T2 ; grappe : les vêtements et le corps paré
tulpas,n,"souplesse, flexibilité",nom,tulp + -as (abstrait),expansion T2 (abstrait)
kʼatulp,v.stat,"être rigide, dur, cassant",verbe statif,tulp + kʼa- (privatif),expansion T2 (privatif)
krak,v,"frapper, donner un coup ; fracasser",radical verbal,racine,"expansion T2 ; grappe : la guerre, le conflit, la force"
krakar,n,"celui qui frappe, combattant",nom,krak + -ar (agentif),expansion T2 (agentif)
krakut,n,"coup, fracture, dégât",nom,krak + -ut (résultatif),expansion T2 (résultatif)
krakil,n,"arme de frappe, matraque",nom,krak + -il (instrumental),expansion T2 (instrumental)
spur,v,"percer, transpercer, poignarder",radical verbal,racine,"expansion T2 ; grappe : la guerre, le conflit, la force"
spurar,n,celui qui transperce,nom,spur + -ar (agentif),expansion T2 (agentif)
spurut,n,"blessure, perforation",nom,spur + -ut (résultatif),expansion T2 (résultatif)
spuril,n,"arme pointue, lance",nom,spur + -il (instrumental),expansion T2 (instrumental)
tram,v,"piétiner, écraser, fouler",radical verbal,racine,"expansion T2 ; grappe : la guerre, le conflit, la force"
tramar,n,celui qui écrase,nom,tram + -ar (agentif),expansion T2 (agentif)
tramut,n,"trace, empreinte, dégât",nom,tram + -ut (résultatif),expansion T2 (résultatif)
tramas,n,"écrasement, destruction",nom,tram + -as (abstrait),expansion T2 (abstrait)
pins,v,"recevoir, prendre, accepter",radical verbal,racine,"expansion T2 ; grappe : l'échange, le don, la possession"
pinsar,n,"receveur, celui qui reçoit",nom,pins + -ar (agentif),expansion T2 (agentif)
pinsut,n,"cadeau reçu, présent",nom,pins + -ut (résultatif),expansion T2 (résultatif)
pinsas,n,"réception, acceptation",nom,pins + -as (abstrait),expansion T2 (abstrait)
kraxt,n,"bien, possession, propriété",nom,racine,"expansion T2 ; grappe : l'échange, le don, la possession"
kraxtar,n,"propriétaire, possesseur",nom,kraxt + -ar (agentif),expansion T2 (agentif)
kraxtus,v.stat,"désirer posséder, convoiter",verbe statif,kraxt + -us (désidératif),expansion T2 (désidératif)
kʼakraxt,v.stat,"dépourvu, sans bien",verbe statif,kraxt + kʼa- (privatif),expansion T2 (privatif)
kamp,v,"partager, distribuer, diviser",radical verbal,racine,"expansion T2 ; grappe : l'échange, le don, la possession"
kampar,n,"distributeur, celui qui partage",nom,kamp + -ar (agentif),expansion T2 (agentif)
kamput,n,"part, portion partagée",nom,kamp + -ut (résultatif),expansion T2 (résultatif)
kampas,n,"partage, distribution",nom,kamp + -as (abstrait),expansion T2 (abstrait)
hilp,v,"prêter, confier temporairement",radical verbal,racine,"expansion T2 ; grappe : l'échange, le don, la possession"
hilpar,n,prêteur,nom,hilp + -ar (agentif),expansion T2 (agentif)
hilput,n,prêt (chose prêtée),nom,hilp + -ut (résultatif),expansion T2 (résultatif)
hilpas,n,"emprunt, acte de prêter",nom,hilp + -as (abstrait),expansion T2 (abstrait)
kiln,v,"rendre, restituer, retourner",radical verbal,racine,"expansion T2 ; grappe : l'échange, le don, la possession"
kilnar,n,celui qui restitue,nom,kiln + -ar (agentif),expansion T2 (agentif)
kilnut,n,"restitution, chose rendue",nom,kiln + -ut (résultatif),expansion T2 (résultatif)
kilnas,n,restitution (acte),nom,kiln + -as (abstrait),expansion T2 (abstrait)
parx,v,"vendre, troquer contre paiement",radical verbal,racine,"expansion T2 ; grappe : l'échange, le don, la possession"
parxar,n,vendeur,nom,parx + -ar (agentif),expansion T2 (agentif)
parxut,n,marchandise vendue,nom,parx + -ut (résultatif),expansion T2 (résultatif)
parxas,n,"vente, commerce",nom,parx + -as (abstrait),expansion T2 (abstrait)
hamx,n,"prix, valeur, coût",nom,racine,"expansion T2 ; grappe : l'échange, le don, la possession"
hamxar,n,celui qui fixe le prix,nom,hamx + -ar (agentif),expansion T2 (agentif)
hamxus,v.stat,"coûter, avoir un prix",verbe statif,hamx + -us (désidératif),expansion T2 (désidératif)
tulx,n,"intérêt, bénéfice, gain d'échange",nom,racine,"expansion T2 ; grappe : l'échange, le don, la possession"
tulxar,n,bénéficiaire,nom,tulx + -ar (agentif),expansion T2 (agentif)
tulxus,v.stat,"profiter, tirer bénéfice",verbe statif,tulx + -us (désidératif),expansion T2 (désidératif)
tulxas,n,profit (état),nom,tulx + -as (abstrait),expansion T2 (abstrait)
skat,v.stat,"être nombreux, abonder, avoir en quantité",verbe statif,racine,expansion T2 ; grappe : la quantité et le nombre
skatar,n,"celui qui accumule, collecteur",nom,skat + -ar (agentif),expansion T2 (agentif)
skatas,n,"abondance, profusion, multiplicité",nom,skat + -as (abstrait),expansion T2 (abstrait)
kʼaskat,v.stat,"être rare, manquer de quantité",verbe statif,skat + kʼa- (privatif),expansion T2 (privatif)
nult,v.stat,"être vide, ne pas contenir, zéro",verbe statif,racine,expansion T2 ; grappe : la quantité et le nombre
nultas,n,"vide, absence, néant",nom,nult + -as (abstrait),expansion T2 (abstrait)
nultut,n,ce qui est vide,nom,nult + -ut (résultatif),expansion T2 (résultatif)
mirs,n,"paire, dualité, deux",nom,racine,expansion T2 ; grappe : la quantité et le nombre
mirsas,n,"dualité, binité",nom,mirs + -as (abstrait),expansion T2 (abstrait)
mirsut,n,"une paire, un couple",nom,mirs + -ut (résultatif),expansion T2 (résultatif)
trip,n,"trio, triplet, trois",nom,racine,expansion T2 ; grappe : la quantité et le nombre
tripas,n,"trinité, triplité",nom,trip + -as (abstrait),expansion T2 (abstrait)
tripar,n,"celui des trois, le tiers",nom,trip + -ar (agentif),expansion T2 (agentif)
